Location,Latitude,Longitude,GeoCode Address,Person,Organization,Facility,Artifact
,0.0,0.0,,SabOSosaa we i,,,
,0.0,0.0,,NYGovCuomo maddow,,,
,0.0,0.0,,Those Enduring Sandy 's Wrath,Alternet,,Frightening and Amazing Photos From Those Enduring Sandy 's Wrath
,0.0,0.0,,prvtschoolprobs You my,my school,,
NJ,0.0,0.0,"New Jersey, USA",TheObamaDiary Comfort Pres Obama Nth Pt Marina owner Donna Vanzant he,,,
New York region,0.0,0.0,"New York, USA",,,,
,0.0,0.0,,JeffreyYoung_HC,Health Care System HuffPost,,
,0.0,0.0,,,buzzfeed,,29 Breathtaking Photos Of Hurricane Sandy 's Devastation
,0.0,0.0,,consumers,FTC FTC,,
,0.0,0.0,,President Obama N.J . Gov . Christie,HuffPostPol,,
Hartford Hartford Hartford,41.7676885,-72.6875665,"Hartford, 55 Farmington Avenue, Hartford, CT 06105, USA",Sightseers,Hartford Courant,Hartford Home Destroyed By Sandy Hartford Home Destroyed By Sandy,
over the north east,39.5562214,-75.9589512,"Bridge over Lane, North East, MD 21901, USA",KidFury i,,,
,0.0,0.0,,,,,a freezer bag Solid ice block
,0.0,0.0,,carr2n,Twitter,,
,0.0,0.0,,We,Scientific American Blog Network,,
,0.0,0.0,,jfedor21,,Bert and Ernie 's War Room,
,0.0,0.0,,SunniAndTheCity WHITE PPL,,,
,0.0,0.0,,,,,
a # drupal 7 site,0.0,0.0,,I,,,
,0.0,0.0,,"weeddude Number of # NYC cyclists a day on E . River bridges 13,000 30 , 000",DOT TransportNation,E . River bridges,
,0.0,0.0,,Wireless operators,,,
,0.0,0.0,,MotherJones,mid  Atlantic America,,Photo
,0.0,0.0,,,Wall Street,,
NewJersey Ocean City,39.2776156,-74.5746001,"Ocean City, NJ, USA",,,,VIDEO THIS MONRING
NewJersey Ocean City,40.2479729,-74.029843,"Ocean Township, NJ, USA",,,,VIDEO THIS MONRING
NewJersey Ocean City,39.7904391,-74.2176448,"Ocean Township, NJ, USA",,,,VIDEO THIS MONRING
,0.0,0.0,,,OpenWirelessMovement,,"free , open  access wireless internet"
,0.0,0.0,,,GoogleLocalNYC googlemaps,"transit lines working subway & amp ; "" bus bridge "" lines",
Gaza,0.0,0.0,Gaza,,Christianpost CP World Report,,
,0.0,0.0,,"EastonPA , Wilson , NotreDame & amp ; St . Jane 's students",EastonPA Wilson NotreDame St . Jane 's,,
,0.0,0.0,,me i,,,
110mi SE of Atlantic City 175mi SSE of NYC,40.7127837,-74.0059413,"New York, NY, USA",,,,
,0.0,0.0,,mobile autistic  NYers,,Most gas stations,
,0.0,0.0,,Residents Displaced by Sandy,Mashable New Jersey,,
,0.0,0.0,,,,,
NY,40.7127837,-74.0059413,"New York, NY, USA",,NY Times Dot Earth Blog,,
NYC,40.7127837,-74.0059413,"New York, NY, USA",,,NYC Data Centers,
,0.0,0.0,,,NewsWatch,,
,0.0,0.0,,AndrewLeighNYC me our,,,our hurricane rations
,0.0,0.0,,LaMaisonDeux Sandy victims,,,
,0.0,0.0,,thousands,NYC,,
,0.0,0.0,,,,,
,0.0,0.0,,reneegraziano hitmansteviej the # HurricaneSandy victims,,,
,0.0,0.0,,phemnahs omojuwa ekekeee u some pple deh som matured folks,,,
,0.0,0.0,,,travelingreport,,
,0.0,0.0,,DeborahMitton,,NVCC Annandale Campus bookstore,
,0.0,0.0,,,,,
Chicago shoreline,0.0,0.0,"Shoreline Drive, Park Ridge, IL 60068, USA",,chicagotribune,,
